SYMBOL	GO
gli2a	GO:0005634
gli2a	GO:0097730
tenm3	GO:0005886
tenm3	GO:0005887
tenm3	GO:0016020
tenm3	GO:0016021
tenm3	GO:0030424
tenm3	GO:0042995
tenm3	GO:0043005
tenm4	GO:0005634
tenm4	GO:0005737
tenm4	GO:0005886
tenm4	GO:0016020
tenm4	GO:0016021
tenm4	GO:0042995
tenm4	GO:0043005
isl2a	GO:0005634
lfng	GO:0005794
lfng	GO:0016020
lfng	GO:0016021
lfng	GO:0030173
chrd	GO:0005576
chrd	GO:0005615
tapbp.1	GO:0016020
tapbp.1	GO:0042824
pitx2	GO:0005634
mpp7a	GO:0005886
mpp7a	GO:0005911
mpp7a	GO:0005912
mpp7a	GO:0005923
mpp7a	GO:0016020
mpp7a	GO:0030054
drl	GO:0005634
neurod1	GO:0005634
neurod1	GO:0005737
dharma	GO:0005634
wnt10a	GO:0005576
wnt10a	GO:0005615
nup93	GO:0005634
nup93	GO:0005643
nup93	GO:0016020
nup93	GO:0031965
nup93	GO:0034399
nog3	GO:0005576
nog3	GO:0005615
nog1	GO:0005576
nog1	GO:0005615
nog1	GO:0005794
nog1	GO:0045202
gdf6b	GO:0005576
gdf6b	GO:0005615
ptch2	GO:0005886
ptch2	GO:0016020
ptch2	GO:0016021
acvr1ba	GO:0005886
acvr1ba	GO:0016020
acvr1ba	GO:0016021
acvr1ba	GO:0043235
acvr1ba	GO:0048179
nog2	GO:0005576
nog2	GO:0005615
crestin	GO:0005575
copg2	GO:0000139
copg2	GO:0005737
copg2	GO:0005783
copg2	GO:0005793
copg2	GO:0005794
copg2	GO:0016020
copg2	GO:0030117
copg2	GO:0030126
copg2	GO:0031410
ccne1	GO:0000307
ccne1	GO:0005634
ccne1	GO:0005737
ccne1	GO:0005813
ccne1	GO:0097134
ptch1	GO:0005886
ptch1	GO:0016020
ptch1	GO:0016021
egr2b	GO:0005634
ntn1b	GO:0005576
ntn1b	GO:0005604
alcama	GO:0005886
alcama	GO:0016020
alcama	GO:0016021
alcama	GO:0030424
alcama	GO:0030425
alcama	GO:0042995
lmnb2	GO:0005635
lmnb2	GO:0005652
lmnb2	GO:0005882
dkk1b	GO:0005576
dkk1b	GO:0005615
dkk1b	GO:0005737
epd	GO:0005576
epd	GO:0005764
myog	GO:0005634
spon2a	GO:0005576
spon2a	GO:0031012
spon2b	GO:0005576
spon2b	GO:0031012
cpsf4	GO:0005634
tle3a	GO:0005634
tle3a	GO:0005667
tyr	GO:0016020
tyr	GO:0016021
tyr	GO:0033162
cmn	GO:0062023
mafba	GO:0005634
pyya	GO:0005576
pyya	GO:0005615
gsc	GO:0005634
htt	GO:0005634
htt	GO:0005737
hbba1	GO:0005833
efna2a	GO:0005886
efna2a	GO:0016020
efna2a	GO:0031225
efnb2a	GO:0005886
efnb2a	GO:0016020
efnb2a	GO:0016021
psen1	GO:0000139
psen1	GO:0005634
psen1	GO:0005739
psen1	GO:0005743
psen1	GO:0005765
psen1	GO:0005783
psen1	GO:0005789
psen1	GO:0005794
psen1	GO:0005886
psen1	GO:0005887
psen1	GO:0005938
psen1	GO:0009986
psen1	GO:0016020
psen1	GO:0016021
psen1	GO:0016324
psen1	GO:0030018
psen1	GO:0030054
psen1	GO:0030426
psen1	GO:0031224
psen1	GO:0031594
psen1	GO:0035253
psen1	GO:0042995
psen1	GO:0043025
psen1	GO:0043198
psen1	GO:0045121
psen1	GO:0045202
psen1	GO:0048471
psen1	GO:0070765
ccnd1	GO:0000307
ccnd1	GO:0005634
ccnd1	GO:0005737
ccnd1	GO:0017053
efna5b	GO:0005886
efna5b	GO:0016020
efna5b	GO:0031225
efna5b	GO:0031362
smo	GO:0005886
smo	GO:0005929
smo	GO:0016020
smo	GO:0016021
smo	GO:0030425
ntn1a	GO:0005576
ntn1a	GO:0005604
pes	GO:0005634
pes	GO:0005654
pes	GO:0005730
pes	GO:0030687
pes	GO:0070545
inab	GO:0005737
inab	GO:0005882
inab	GO:0005883
inab	GO:0099160
nipsnap1	GO:0005739
nipsnap2	GO:0005737
nipsnap2	GO:0005739
tnn	GO:0005576
tnn	GO:0005615
tnn	GO:0062023
gja1b	GO:0005739
gja1b	GO:0005886
gja1b	GO:0005921
gja1b	GO:0005922
gja1b	GO:0014704
gja1b	GO:0016020
gja1b	GO:0016021
gja1b	GO:0016324
gja1b	GO:0030054
gatd3l	GO:0005739
en2b	GO:0005634
neurog1	GO:0005634
fbln1	GO:0005576
mest	GO:0005783
mest	GO:0016020
mest	GO:0016021
en2a	GO:0005634
en1a	GO:0005634
wt1a	GO:0005634
wt1a	GO:0005737
wt1a	GO:0016607
calr3a	GO:0005783
calr3a	GO:0005788
calr3a	GO:0005789
sema3d	GO:0005576
sema3d	GO:0005615
sema3d	GO:0005887
sema3h	GO:0005615
sema3h	GO:0005887
tbx2b	GO:0005634
tbx16l	GO:0005634
tfa	GO:0005576
tfa	GO:0005615
tfa	GO:0005769
tfa	GO:0005886
tfa	GO:0055037
kita	GO:0005886
kita	GO:0005887
kita	GO:0016020
kita	GO:0016021
kita	GO:0043235
prph	GO:0005737
prph	GO:0005882
prph	GO:0005886
prph	GO:0030424
prph	GO:0045098
noto	GO:0005634
ins	GO:0005576
ins	GO:0005615
ddx4	GO:0005634
ddx4	GO:0043186
tbx16	GO:0000785
tbx16	GO:0005634
ctnnb1	GO:0005634
ctnnb1	GO:0005737
ctnnb1	GO:0005886
ctnnb1	GO:0005902
ctnnb1	GO:0005912
ctnnb1	GO:0005915
ctnnb1	GO:0005938
ctnnb1	GO:0014704
ctnnb1	GO:0016020
ctnnb1	GO:0016342
sema3aa	GO:0005576
sema3aa	GO:0005615
sema3aa	GO:0005887
sema3ab	GO:0005576
sema3ab	GO:0005615
sema3ab	GO:0005887
ccl27a	GO:0005576
ccl27a	GO:0005615
shha	GO:0005615
shha	GO:0005886
shha	GO:0016020
ngfa	GO:0005576
ngfa	GO:0005615
ngfa	GO:0008021
ngfa	GO:0030424
ngfa	GO:0030425
nr1d2b	GO:0005634
snai1a	GO:0005634
foxg1a	GO:0005634
inhbb	GO:0005576
inhbb	GO:0005615
gjc4b	GO:0005886
gjc4b	GO:0005921
gjc4b	GO:0005922
gjc4b	GO:0016020
gjc4b	GO:0016021
gjc4b	GO:0030054
mdka	GO:0005576
mdka	GO:0005794
jak1	GO:0005829
jak1	GO:0005856
jak1	GO:0012505
jak1	GO:0016020
npy	GO:0005576
npy	GO:0005615
wnt11	GO:0005576
wnt11	GO:0005615
her5	GO:0005634
ndrg3a	GO:0005737
her1	GO:0005634
her1	GO:0005667
her6	GO:0005634
her3	GO:0005634
rcp	GO:0005575
cdh2	GO:0005737
cdh2	GO:0005886
cdh2	GO:0005887
cdh2	GO:0014069
cdh2	GO:0014704
cdh2	GO:0016020
cdh2	GO:0016021
cdh2	GO:0016342
cdh2	GO:0030027
cdh2	GO:0042734
cdh2	GO:0043005
cdh2	GO:0045177
cdh2	GO:0048471
cdh2	GO:0099059
cdh2	GO:0099060
ndr2	GO:0005576
ndr2	GO:0005615
ndr2	GO:0032991
or70b1	GO:0016020
or70b1	GO:0016021
rho	GO:0001750
rho	GO:0005886
rho	GO:0005887
rho	GO:0016020
rho	GO:0016021
rho	GO:0042995
rho	GO:0097381
foxo3b	GO:0005634
foxo3b	GO:0005759
cdh4	GO:0005886
cdh4	GO:0016020
cdh4	GO:0016021
cdh4	GO:0016342
jak2b	GO:0005634
jak2b	GO:0005829
jak2b	GO:0005856
jak2b	GO:0012505
jak2b	GO:0016020
ihhb	GO:0005576
ihhb	GO:0005615
ihhb	GO:0005886
ihhb	GO:0016020
her2	GO:0000785
her2	GO:0005634
atoh1a	GO:0005634
tdgf1	GO:0005576
tdgf1	GO:0009897
tdgf1	GO:0009986
jak2a	GO:0005829
jak2a	GO:0005856
jak2a	GO:0016020
wnt10b	GO:0005576
wnt10b	GO:0005615
tcf3a	GO:0005667
ek1	GO:0005769
ek1	GO:0005886
ek1	GO:0005887
ek1	GO:0016020
ek1	GO:0016021
ek1	GO:0043005
ek1	GO:0043235
ephb3a	GO:0005886
ephb3a	GO:0005887
ephb3a	GO:0016020
ephb3a	GO:0016021
ephb3a	GO:0030425
ephb3a	GO:0042995
ephb3a	GO:0043005
ephb3a	GO:0043235
apoeb	GO:0005576
apoeb	GO:0005615
apoeb	GO:0031012
apoeb	GO:0034361
apoeb	GO:0034362
apoeb	GO:0034363
apoeb	GO:0034364
foxn4	GO:0005634
otpb	GO:0005634
hoxb5a	GO:0005634
pou3f3b	GO:0005634
tpma	GO:0005737
tpma	GO:0005856
tpma	GO:0005884
tpma	GO:0015629
hoxa2b	GO:0005634
cyt1	GO:0005856
cyt1	GO:0005882
cki	GO:0005882
hoxd4a	GO:0005634
cahz	GO:0005737
lmo2	GO:0005634
lmo2	GO:0032991
pou5f3	GO:0005634
pou6f1	GO:0005634
eve1	GO:0005634
hoxb1a	GO:0005634
hoxb2a	GO:0005634
hoxb3a	GO:0005634
hoxb4a	GO:0005634
hoxb6a	GO:0005634
hoxb8a	GO:0005634
hoxb9a	GO:0005634
hoxc4a	GO:0005634
hoxc6a	GO:0005634
hoxd3a	GO:0005634
hoxd9a	GO:0005634
lpl	GO:0005576
lpl	GO:0005615
lpl	GO:0005886
lpl	GO:0016020
lpl	GO:0034361
lpl	GO:0042627
apoa1a	GO:0005576
apoa1a	GO:0005615
apoa1a	GO:0034364
apoa1a	GO:0042627
or6at1	GO:0016020
or6at1	GO:0016021
or63b2	GO:0005886
or63b2	GO:0016020
or63b2	GO:0016021
or42b2	GO:0016020
or42b2	GO:0016021
fzd4	GO:0005615
fzd4	GO:0016020
fzd4	GO:0016021
fzd5	GO:0005886
fzd5	GO:0016020
fzd5	GO:0016021
fzd10	GO:0005886
fzd10	GO:0016020
fzd10	GO:0016021
fzd7a	GO:0005886
fzd7a	GO:0016020
fzd7a	GO:0016021
fzd2	GO:0005886
fzd2	GO:0016020
fzd2	GO:0016021
hoxb1b	GO:0005634
or64c1	GO:0016020
or64c1	GO:0016021
hoxc5a	GO:0005634
nras	GO:0000139
nras	GO:0005794
nras	GO:0005886
nras	GO:0016020
cyp26a1	GO:0005783
cyp26a1	GO:0005789
cyp26a1	GO:0016020
cyp26a1	GO:0016021
cyp26a1	GO:0043231
hoxa11b	GO:0005634
th	GO:0005737
th	GO:0030424
th	GO:0043204
th	GO:0048471
pou3f3a	GO:0005634
psmb5	GO:0000502
psmb5	GO:0005634
psmb5	GO:0005737
psmb5	GO:0005839
psmb5	GO:0019774
psmb6	GO:0000502
psmb6	GO:0005634
psmb6	GO:0005737
psmb6	GO:0005839
psmb6	GO:0019774
cyp19a1a	GO:0005783
cyp19a1a	GO:0016020
cyp19a1a	GO:0016021
hoxa10b	GO:0005634
cryaba	GO:0005634
cryaba	GO:0005737
cryaba	GO:0005886
dbx1a	GO:0005634
twist2	GO:0005634
elf1	GO:0005634
pou3f2b	GO:0005634
pou3f1	GO:0005634
tbxta	GO:0000785
tbxta	GO:0005634
b2m	GO:0005576
b2m	GO:0016020
b2m	GO:0016021
b2m	GO:0042612
b2m	GO:0042613
hoxc11a	GO:0005634
hoxd10a	GO:0005634
hoxd11a	GO:0005634
hoxd13a	GO:0005634
or30bu2	GO:0005886
or30bu2	GO:0016020
or30bu2	GO:0016021
fzd7b	GO:0005886
fzd7b	GO:0016020
fzd7b	GO:0016021
opn1lw1	GO:0001750
opn1lw1	GO:0005887
opn1lw1	GO:0016020
opn1lw1	GO:0016021
jupa	GO:0005634
jupa	GO:0005737
jupa	GO:0005912
jupa	GO:0016342
jupa	GO:0030057
dbx1b	GO:0005634
dbx2	GO:0005634
nr2f1a	GO:0005634
hoxb8b	GO:0005634
hoxc3a	GO:0005634
nr2f2	GO:0005634
pax2a	GO:0005634
nr2f5	GO:0005634
csnk2b	GO:0005737
csnk2b	GO:0005956
mylpfa	GO:0005737
dnmt1	GO:0005634
srfa	GO:0005634
smn1	GO:0005634
smn1	GO:0005654
smn1	GO:0005681
smn1	GO:0005737
smn1	GO:0015030
smn1	GO:0030018
smn1	GO:0032797
smn1	GO:0032991
smn1	GO:0036464
smn1	GO:0042995
smn1	GO:0043005
smn1	GO:0043204
smn1	GO:0097504
opn1sw2	GO:0001750
opn1sw2	GO:0005887
opn1sw2	GO:0016020
opn1sw2	GO:0016021
eya1	GO:0005634
hoxa13b	GO:0005634
prim1	GO:0005658
prim1	GO:1990077
tmod4	GO:0005856
tmod4	GO:0005865
tmod4	GO:0030016
ednrba	GO:0005886
ednrba	GO:0016020
ednrba	GO:0016021
ctslb	GO:0005576
ctslb	GO:0005615
ctslb	GO:0005764
shhb	GO:0005576
shhb	GO:0005615
shhb	GO:0005886
shhb	GO:0016020
brd2a	GO:0000785
brd2a	GO:0005575
brd2a	GO:0005634
ncam1a	GO:0016020
ncam1a	GO:0016021
serpinh1b	GO:0005615
serpinh1b	GO:0005783
cdc27	GO:0005680
cdc27	GO:0005737
etv5b	GO:0005634
kifc1	GO:0005634
kifc1	GO:0005815
kifc1	GO:0005871
kifc1	GO:0005874
kifc1	GO:0072686
lhx1b	GO:0005634
lhx3	GO:0005634
pcdh8	GO:0005886
pcdh8	GO:0005887
pcdh8	GO:0016020
pcdh8	GO:0016021
acvr2ba	GO:0005886
acvr2ba	GO:0016020
acvr2ba	GO:0016021
acvr2ba	GO:0043235
acvr2ba	GO:0048179
gata3	GO:0005634
exorh	GO:0016020
exorh	GO:0016021
cdh11	GO:0005886
cdh11	GO:0005912
cdh11	GO:0016020
cdh11	GO:0016021
cdh11	GO:0016342
otx2a	GO:0005634
lhx1a	GO:0005634
lhx1a	GO:0032991
rxrga	GO:0005634
rxrga	GO:0090575
lhx5	GO:0005634
ascl1a	GO:0005634
ascl1a	GO:0090575
max	GO:0005634
max	GO:0071141
max	GO:0071339
max	GO:0090575
atp1b3a	GO:0005890
atp1b3a	GO:0016020
atp1b3a	GO:0016021
epb41l4a	GO:0005737
epb41l4a	GO:0005856
qkia	GO:0005634
qkia	GO:0005737
rx1	GO:0005634
rx2	GO:0005634
rx3	GO:0005634
erh	GO:0005634
wif1	GO:0005576
wif1	GO:0009986
tcp1	GO:0005832
ascl1b	GO:0005634
ascl1b	GO:0016020
ascl1b	GO:0016021
ascl1b	GO:0090575
evx2	GO:0005634
gata2a	GO:0005634
gata1a	GO:0005634
gata5	GO:0005634
gata4	GO:0005634
mxi1	GO:0005634
rxrbb	GO:0005634
rxrbb	GO:0090575
csnk2a2a	GO:0005634
csnk2a2a	GO:0005829
csnk2a2a	GO:0005956
bfb	GO:0005576
bfb	GO:0005601
c3a.2	GO:0005576
c3a.2	GO:0005615
id1	GO:0005634
id1	GO:0005737
ldha	GO:0005737
ldhba	GO:0005737
egr1	GO:0005634
egr1	GO:0005737
evx1	GO:0005634
otx1	GO:0005634
otx2b	GO:0005634
csnk2a1	GO:0005634
csnk2a1	GO:0005829
csnk2a1	GO:0005956
opn1mw1	GO:0001750
opn1mw1	GO:0005887
opn1mw1	GO:0016020
opn1mw1	GO:0016021
opn1mw4	GO:0001750
opn1mw4	GO:0005887
opn1mw4	GO:0016020
opn1mw4	GO:0016021
dbh	GO:0005615
dbh	GO:0016020
dbh	GO:0016021
dbh	GO:0030667
nr6a1a	GO:0005634
nr6a1a	GO:0005737
hbaa1	GO:0005833
hbaa1	GO:0031838
oprd1a	GO:0005887
oprd1a	GO:0016020
oprd1a	GO:0016021
oprd1a	GO:0043005
tcf7l2	GO:0005634
tcf7l2	GO:0071664
tcf7l2	GO:1990907
msx1b	GO:0005634
ret	GO:0005886
ret	GO:0005887
ret	GO:0016020
ret	GO:0030424
ret	GO:0043235
ret	GO:0045121
myod1	GO:0005634
eef1a1l1	GO:0005737
ahr2	GO:0005634
ahr2	GO:0005737
ahr2	GO:0034751
myb	GO:0000785
myb	GO:0005634
irx3a	GO:0005634
tcf7l1a	GO:0005634
tcf7l1a	GO:1990907
foxd5	GO:0005634
foxd2	GO:0005634
msx3	GO:0005634
msx1a	GO:0005634
sox3	GO:0005634
rxrba	GO:0005634
rxrba	GO:0090575
msx2b	GO:0005634
pax3a	GO:0005634
pou4f3	GO:0005634
pou4f3	GO:0005737
emx3	GO:0005634
emx2	GO:0005634
fgf8a	GO:0005576
fgf8a	GO:0005615
fgf8a	GO:0005737
fgf8a	GO:0005764
foxa	GO:0005634
foxa1	GO:0005634
foxb1a	GO:0005634
sox21a	GO:0005634
sox17	GO:0005634
ntrk1	GO:0005886
ntrk1	GO:0005887
ntrk1	GO:0016020
ntrk1	GO:0016021
ntrk1	GO:0030424
ntrk1	GO:0043235
pou3f2a	GO:0005634
foxd3	GO:0005634
fgf3	GO:0005576
fgf3	GO:0005615
fgf3	GO:0005737
fgf3	GO:0031012
sod1	GO:0005634
sod1	GO:0005737
sod1	GO:0005739
sod1	GO:0005777
sod1	GO:0005829
pla2g4aa	GO:0005634
pla2g4aa	GO:0005737
pla2g4aa	GO:0005783
pla2g4aa	GO:0005794
pla2g4aa	GO:0005829
pla2g4aa	GO:0031410
tcf7l1b	GO:0005634
tcf7l1b	GO:1990907
dlx2b	GO:0005634
pax9	GO:0005634
foxa3	GO:0005634
fgf6a	GO:0005615
fgf6a	GO:0005737
dlx4a	GO:0005634
mef2aa	GO:0005634
pax6a	GO:0005634
dlx1a	GO:0005634
dlx5a	GO:0005634
ran	GO:0005634
ran	GO:0005635
ran	GO:0005737
ran	GO:0005829
hsp90ab1	GO:0005576
hsp90ab1	GO:0005634
hsp90ab1	GO:0005737
hsp90ab1	GO:0005829
hsp90ab1	GO:0005886
hsp90ab1	GO:0032991
hsp90ab1	GO:0034751
hsp90ab1	GO:0048471
hsp90ab1	GO:0120293
dlx2a	GO:0005634
mef2ca	GO:0005634
mef2ca	GO:0090575
ldb1b	GO:0005634
ldb2a	GO:0005634
ldb2a	GO:0005667
ldb2b	GO:0005634
ldb2b	GO:0005667
ldb1a	GO:0005634
ldb1a	GO:0005667
mef2d	GO:0005634
dlx4b	GO:0005634
opn1sw1	GO:0001750
opn1sw1	GO:0005887
opn1sw1	GO:0016020
opn1sw1	GO:0016021
lcp1	GO:0005737
lcp1	GO:0005856
lcp1	GO:0005884
lcp1	GO:0005886
lcp1	GO:0016020
lcp1	GO:0030054
lcp1	GO:0032432
lcp1	GO:0032587
lcp1	GO:0042995
bmp7a	GO:0005576
bmp7a	GO:0005615
dlx3b	GO:0005634
dlx6a	GO:0005634
pax7a	GO:0005634
tp53	GO:0000785
tp53	GO:0005634
tp53	GO:0005737
hsp90aa1.1	GO:0005634
hsp90aa1.1	GO:0005737
hsp90aa1.1	GO:0005829
hsp90aa1.1	GO:0005886
hsp90aa1.1	GO:0030018
hsp90aa1.1	GO:0031672
hsp90aa1.1	GO:0032991
hsp90aa1.1	GO:0042470
hsp90aa1.1	GO:0043025
hsp90aa1.1	GO:0043209
hsp90aa1.1	GO:0048471
myl7	GO:0005737
myl7	GO:0030016
zp2.5	GO:0005576
zp2.5	GO:0035805
zp2.5	GO:0062023
zp3	GO:0005576
zp3	GO:0005886
zp3	GO:0016020
hbbe3	GO:0005833
hbbe3	GO:0031838
hbae1.1	GO:0005833
hbae1.1	GO:0031838
vsx1	GO:0005634
mid1ip1a	GO:0005634
mid1ip1a	GO:0005737
mid1ip1a	GO:0005829
mid1ip1a	GO:0005856
mid1ip1a	GO:0005874
hbae3	GO:0005833
hbae3	GO:0031838
sox11a	GO:0005634
sox11b	GO:0005634
cfb	GO:0005576
cfb	GO:0005601
rarga	GO:0005634
thrb	GO:0005634
gap43	GO:0005737
gap43	GO:0005886
gap43	GO:0014069
gap43	GO:0016020
gap43	GO:0030054
gap43	GO:0031527
gap43	GO:0032584
gap43	GO:0042995
gap43	GO:0045202
bmp4	GO:0005576
bmp4	GO:0005615
acvr1l	GO:0005737
acvr1l	GO:0005886
acvr1l	GO:0005887
acvr1l	GO:0005938
acvr1l	GO:0016020
acvr1l	GO:0016021
acvr1l	GO:0043235
acvr1l	GO:0070724
myh7	GO:0005737
myh7	GO:0016459
myh7	GO:0016460
myh7	GO:0032982
urod	GO:0005737
urod	GO:0005829
fli1	GO:0005634
hesx1	GO:0001726
hesx1	GO:0005634
hesx1	GO:0005768
hesx1	GO:0031901
hesx1	GO:0042995
hesx1	GO:0045335
ube2ib	GO:0005634
six9	GO:0005634
six9	GO:0005667
six7	GO:0005634
six7	GO:0005667
kif23	GO:0005634
kif23	GO:0005737
kif23	GO:0005871
kif23	GO:0005874
kif23	GO:0032154
smad1	GO:0005634
smad1	GO:0005667
smad1	GO:0005737
smad1	GO:0071144
pth1r	GO:0005886
pth1r	GO:0016020
pth1r	GO:0016021
anos1a	GO:0005576
anos1a	GO:0009986
bmp2a	GO:0005576
bmp2a	GO:0005615
bmp2b	GO:0005576
bmp2b	GO:0005615
l1cama	GO:0005886
l1cama	GO:0016020
l1cama	GO:0016021
l1cama	GO:0030424
l1cama	GO:0042995
l1cama	GO:0043025
l1cama	GO:0044295
six3a	GO:0005634
six3a	GO:0005667
six3b	GO:0005634
six3b	GO:0005667
mdm2	GO:0005634
mdm2	GO:0005654
mdm2	GO:0005730
mdm2	GO:0005737
smad2	GO:0000785
smad2	GO:0005634
smad2	GO:0005667
smad2	GO:0005737
smad2	GO:0071144
smad5	GO:0005634
smad5	GO:0005667
smad5	GO:0005737
smad5	GO:0071144
gdf7	GO:0005576
gdf7	GO:0005615
acat2	GO:0005739
mtmr2	GO:0005737
mtmr2	GO:0005768
mtmr2	GO:0005829
mtmr2	GO:0016020
mtmr2	GO:0031901
cd74b	GO:0005737
cd74b	GO:0009986
cd74b	GO:0016020
cd74b	GO:0016021
gfap	GO:0005737
gfap	GO:0005856
gfap	GO:0005882
gfap	GO:0042995
gfap	GO:0045098
psme2	GO:0000502
psme2	GO:0005654
psme2	GO:0005737
psme2	GO:0008537
psme1	GO:0000502
psme1	GO:0005654
psme1	GO:0005737
psme1	GO:0008537
psme3	GO:0000502
psme3	GO:0005654
psme3	GO:0005737
psme3	GO:0008537
pth2ra	GO:0005886
pth2ra	GO:0016020
pth2ra	GO:0016021
pth3r	GO:0005886
pth3r	GO:0016020
pth3r	GO:0016021
anos1b	GO:0005576
anos1b	GO:0009986
gsk3ba	GO:0005634
gsk3ba	GO:0005737
gsk3ba	GO:0005829
gsk3ba	GO:0005886
gsk3ba	GO:0016020
gsk3ba	GO:0030424
gsk3ba	GO:0030877
gsk3ba	GO:0098978
mtch2	GO:0005739
mtch2	GO:0016020
mtch2	GO:0016021
l1camb	GO:0005886
l1camb	GO:0016020
l1camb	GO:0016021
l1camb	GO:0030424
l1camb	GO:0042995
l1camb	GO:0044295
arxa	GO:0005634
rag2	GO:0005634
rag2	GO:0097519
rag2	GO:1905347
dnmt3bb.2	GO:0005634
mtnr1al	GO:0005886
mtnr1al	GO:0016020
mtnr1al	GO:0016021
mtnr1c	GO:0005886
mtnr1c	GO:0016020
mtnr1c	GO:0016021
rag1	GO:0005634
rag1	GO:0097519
rag1	GO:1905347
gsk3ab	GO:0005634
gsk3ab	GO:0005737
gsk3ab	GO:0005829
gsk3ab	GO:0030424
psmb9a	GO:0000502
psmb9a	GO:0005634
psmb9a	GO:0005737
psmb9a	GO:0005839
psmb9a	GO:0019774
psmb8a	GO:0000502
psmb8a	GO:0005634
psmb8a	GO:0005737
psmb8a	GO:0005839
psmb8a	GO:0019774
mtnr1aa	GO:0005886
mtnr1aa	GO:0016020
mtnr1aa	GO:0016021
mtnr1bb	GO:0005886
mtnr1bb	GO:0016020
mtnr1bb	GO:0016021
mtnr1ba	GO:0005886
mtnr1ba	GO:0016020
mtnr1ba	GO:0016021
thraa	GO:0005634
hsp70.3	GO:0005634
hsp70.3	GO:0005737
hsp70.3	GO:0005829
hsp70.3	GO:0005886
ppm1ba	GO:0005634
ppm1ba	GO:0005737
ppm1ba	GO:0005829
ppm1ba	GO:0016020
tefa	GO:0005634
glra1	GO:0005886
glra1	GO:0005887
glra1	GO:0016020
glra1	GO:0016021
glra1	GO:0030054
glra1	GO:0030425
glra1	GO:0034707
glra1	GO:0042995
glra1	GO:0043005
glra1	GO:0043204
glra1	GO:0045202
glra1	GO:0045211
tpst1	GO:0000139
tpst1	GO:0005794
tpst1	GO:0016020
tpst1	GO:0016021
tpst1	GO:0030173
pcna	GO:0005634
pcna	GO:0043626
pcna	GO:0070557
prox1a	GO:0005634
raraa	GO:0005634
mapk12a	GO:0005634
mapk12a	GO:0005737
vegfaa	GO:0005576
vegfaa	GO:0005615
vegfaa	GO:0016020
ft1	GO:0005794
ft1	GO:0016020
ft1	GO:0016021
ft1	GO:0032580
aanat2	GO:0005737
myca	GO:0005634
epha4l	GO:0005768
epha4l	GO:0005769
epha4l	GO:0005886
epha4l	GO:0005887
epha4l	GO:0016020
epha4l	GO:0016021
epha4l	GO:0043005
epha4l	GO:0043235
ephb4a	GO:0005886
ephb4a	GO:0005887
ephb4a	GO:0016020
